Delete,Delete
"Are you sure you want to delete this?","Are you sure you want to delete this?"
"Save and Continue Edit","Save and Continue Edit"
Save,Save
No,No
Yes,Yes
"Gift Wrap","Gift Wrap"
"Gift Message Card","Gift Message Card"
"Card Message","Card Message"
"Hidden Prices on Receipt","Hidden Prices on Receipt"
Total,Total
"We can't change item right now. Please review the log and try again.","We can't change item right now. Please review the log and try again."
"A total of %1 record(s) have been changed.","A total of %1 record(s) have been changed."
"No records have been changed.","No records have been changed."
"The message card have been deleted.","The message card have been deleted."
"Can't delete message card right now. Please review the log and try again.","Can't delete message card right now. Please review the log and try again."
"The message card have been duplicated.","The message card have been duplicated."
"Can't duplicate message card right now. Please review the log and try again.","Can't duplicate message card right now. Please review the log and try again."
"This Gift Message Card no longer exists.","This Gift Message Card no longer exists."
"Manage Gift Message Cards","Manage Gift Message Cards"
"Edit Gift Message Card # %1","Edit Gift Message Card # %1"
"New Gift Message Card","New Gift Message Card"
"Gift Message Cards","Gift Message Cards"
"We can't delete item right now. Please review the log and try again.","We can't delete item right now. Please review the log and try again."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"No records have been deleted.","No records have been deleted."
"We can't duplicate item right now. Please review the log and try again.","We can't duplicate item right now. Please review the log and try again."
"A total of %1 record(s) have been duplicated.","A total of %1 record(s) have been duplicated."
"No records have been duplicated.","No records have been duplicated."
"The Gift Message Card was successfully saved.","The Gift Message Card was successfully saved."
"Something went wrong while saving the gift message card data. Please review the error log.","Something went wrong while saving the gift message card data. Please review the error log."
"The wrap have been deleted.","The wrap have been deleted."
"Can't delete wrap right now. Please review the log and try again.","Can't delete wrap right now. Please review the log and try again."
"The wrap have been duplicated.","The wrap have been duplicated."
"Can't duplicate wrap right now. Please review the log and try again.","Can't duplicate wrap right now. Please review the log and try again."
"This Wrap no longer exists.","This Wrap no longer exists."
"Edit Gift Wrap # %1","Edit Gift Wrap # %1"
"New Gift Wrap","New Gift Wrap"
"Gift Wraps","Gift Wraps"
"The Gift Wrap was successfully saved.","The Gift Wrap was successfully saved."
"Something went wrong while saving the gift wrap data. Please review the error log.","Something went wrong while saving the gift wrap data. Please review the error log."
"System exception","System exception"
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"Unable to save message card with ID %1. Error: %2","Unable to save message card with ID %1. Error: %2"
"Unable to save new message card. Error: %1","Unable to save new message card. Error: %1"
"Message Card with specified ID ""%1"" not found.","Message Card with specified ID ""%1"" not found."
"Unable to remove message card with ID %1. Error: %2","Unable to remove message card with ID %1. Error: %2"
"Unable to remove  message card. Error: %1","Unable to remove  message card. Error: %1"
"There are not all store view data. Please create item with store = 0 before.","There are not all store view data. Please create item with store = 0 before."
"Copy of ","Copy of "
"Product Page","Product Page"
"Shopping Cart Page","Shopping Cart Page"
"Checkout Page","Checkout Page"
Disabled,Disabled
Enabled,Enabled
None,None
"Excluding Tax","Excluding Tax"
"Including Tax","Including Tax"
"Including and Excluding Tax","Including and Excluding Tax"
"Can't create salable item for class: %1","Can't create salable item for class: %1"
"Unable to save wrap with ID %1. Error: %2","Unable to save wrap with ID %1. Error: %2"
"Unable to save new wrap. Error: %1","Unable to save new wrap. Error: %1"
"Wrap with specified ID ""%1"" not found.","Wrap with specified ID ""%1"" not found."
"Unable to remove wrap with ID %1. Error: %2","Unable to remove wrap with ID %1. Error: %2"
"Unable to remove wrap. Error: %1","Unable to remove wrap. Error: %1"
"Need input repository type","Need input repository type"
"Gift Wrap (Incl. Tax)","Gift Wrap (Incl. Tax)"
"Gift Wrap (Excl. Tax)","Gift Wrap (Excl. Tax)"
"Gift Wrapping","Gift Wrapping"
"Can't add product %1 for this wrap","Can't add product %1 for this wrap"
"Kindly note: %1 is not available for wrapping and therefore won't be wrapped.","Kindly note: %1 is not available for wrapping and therefore won't be wrapped."
"Kindly note: %1 are not available for wrapping and therefore won't be wrapped.","Kindly note: %1 are not available for wrapping and therefore won't be wrapped."
"Available for Wrapping","Available for Wrapping"
Edit,Edit
Duplicate,Duplicate
"Delete %1","Delete %1"
"Are you sure you wan't to delete ""%1"" gift message card?","Are you sure you wan't to delete ""%1"" gift message card?"
"Are you sure you wan't to delete ""%1"" gift wrap?","Are you sure you wan't to delete ""%1"" gift wrap?"
"Most Wanted Wraps","Most Wanted Wraps"
Name,Name
"Qty Sold","Qty Sold"
Revenue,Revenue
Overview,Overview
"Add Gift Wrap","Add Gift Wrap"
"Gift Options","Gift Options"
Add,Add
Next,Next
"Added Gift Wrap(s)","Added Gift Wrap(s)"
"Gift Card","Gift Card"
"Gift Message","Gift Message"
"Gift Wrap Option","Gift Wrap Option"
"Wrap All Available Items","Wrap All Available Items"
"Choose Items for Wrapping","Choose Items for Wrapping"
"Item(s) will be sent packaged in a gift box.
         Please remember, once enclosed you will be unable to see the contents of the package. ","Item(s) will be sent packaged in a gift box.
         Please remember, once enclosed you will be unable to see the contents of the package. "
Back,Back
Finish,Finish
"New Wrap","New Wrap"
"Make It a Gift","Make It a Gift"
"Hidden prices on the recipient’s receipt","Hidden prices on the recipient’s receipt"
"Choose the Gift Wrap","Choose the Gift Wrap"
Qty,Qty
"Incl. Tax","Incl. Tax"
"Excl. Tax","Excl. Tax"
Free,Free
"Items Ordered","Items Ordered"
"No Items Available","No Items Available"
"Want to Add Gift Message Card? (optional)","Want to Add Gift Message Card? (optional)"
"Add Gift Message","Add Gift Message"
"Please check and confirm the chosen wrapping","Please check and confirm the chosen wrapping"
"Delete image","Delete image"
"View and Edit Cart","View and Edit Cart"
of,of
"Wrapping in Cart","Wrapping in Cart"
"Wrappings in Cart","Wrappings in Cart"
"View Details","View Details"
Products,Products
"Product(s) was added successfully","Product(s) was added successfully"
"%1 was added successfully","%1 was added successfully"
"Edit Gift Wrap: ","Edit Gift Wrap: "
"Choose Items you want to wrap (all these items will be wrapped together).","Choose Items you want to wrap (all these items will be wrapped together)."
"Amasty Gift Wrap","Amasty Gift Wrap"
General,General
"Please enable the corresponding setting on per-product level. Click <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:gift-wrap"">here</a> for more information.","Please enable the corresponding setting on per-product level. Click <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:gift-wrap"">here</a> for more information."
"Allow to Add Wrap on","Allow to Add Wrap on"
"Admin's Note for Customers","Admin's Note for Customers"
"Here you can greet your customers, tell them more about wrapping peculiarities, encourage to beautifully wrap their purchases, etc. The message will be shown during the whole wrapping process on the storefront.","Here you can greet your customers, tell them more about wrapping peculiarities, encourage to beautifully wrap their purchases, etc. The message will be shown during the whole wrapping process on the storefront."
"Enable Dependency of Gift Message on Gift Message Card","Enable Dependency of Gift Message on Gift Message Card"
"If set to 'Yes', gift messages will be available for customers only after Gift Card choosing.","If set to 'Yes', gift messages will be available for customers only after Gift Card choosing."
"Gift Message Placeholder","Gift Message Placeholder"
"Leave empty if placeholder is not needed.","Leave empty if placeholder is not needed."
